# name, ra, dec, mjd_ztf1, mjd_ztf2, mjd_hetdex, alerce_type, alerce_prob, spec_type, s/n, chi^2, redshift, classif
ZTF18aaovsji 223.4390670125 51.186249225 59402.3 59454.2 58219 SN 0.46818426 SB1 6.968485 6.890863 0.131000 gx
ZTF18aapbmye 235.025466175 51.653304575 58322.2 58347.2 58316 bogus 0.7077604 pickles_uk_108 0.398874 2.037373 0 low
ZTF18aapjgjh 216.84666665 51.810964350000006 58279.2 59372.3 58596 bogus 0.81565285 pickles_uk_100 -0.659281 0.921797 0 low
ZTF18aapkgim 215.63714146666666 51.44113753333334 58255.2 58337.2 58496 bogus 0.8315025 pickles_uk_108 1.424881 1.576875 0 low
ZTF18aapkkra 225.59535512499997 51.51038495 58248.3 58272.3 58600 bogus 0.771602 pickles_uk_109 1.439641 0.976552 0 low
ZTF18aapxgng 235.91166687142862 53.89330640000001 58850.6 59363.3 58963 bogus 0.327391 G0V 18.149236 1.748359 0 star
ZTF18aapxvde 237.2274723111111 53.464186899999994 58893.5 58915.5 59022 bogus 0.63384265 pickles_uk_47 2.654653 2.592205 0 low
ZTF18aaqdfzw 210.88362236666669 54.3821695 58242.2 58272.2 58990 AGN 0.53443533 SB5 5.082120 0.357427 0.001000 gx
ZTF18aaqdwrj 182.629987575 54.282060775 58242.3 58272.2 59017 SN 0.33591363 pickles_uk_100 -0.228648 0.404305 0 low
ZTF18aaqdynw 190.84830625 51.482385 58242.3 58303.2 58933 bogus 0.4876123 pickles_uk_100 0.000875 0.622405 0 low
ZTF18aaqkxng 181.18641232500002 51.899428574999995 58269.2 58282.2 58939 AGN 0.743141 SB6 10.207554 1.836383 0.092000 gx
ZTF18aaqkxzg 181.32393094333335 52.01919981666667 58852.5 58991.2 58607 AGN 0.7737448 Sa 10.056155 1.267964 0.017000 agn
ZTF18aaqlnxs 210.68936804999998 51.805726699999994 58248.3 58276.3 58926 bogus 0.85772455 pickles_uk_100 -0.081540 0.386731 0 low
ZTF18aaqmidj 185.67609399999998 51.375824775 58300.2 59250.4 58495 SN 0.43171388 -- 0.001 0.001 0 low
ZTF18aaqmpqm 225.98648326666668 51.32510693333333 58282.2 58291.3 58282 -- -- pickles_uk_68 2.467752 2.342096 0 low
ZTF18aaqmshp 201.14765079999998 51.27490913333333 58255.2 58272.2 58256 -- -- pickles_uk_108 0.722222 3.949135 0 low
ZTF18aaqmshp 201.14765079999998 51.27490913333333 58255.2 58272.2 58581 -- -- pickles_uk_108 0.722222 3.949135 0 low
ZTF18aaqmujd 210.2998821 51.2920752 58276.3 58468.5 58248 bogus 0.6012677 pickles_uk_109 1.498564 1.670455 0 low
ZTF18aaqmujd 210.2998821 51.2920752 58276.3 58468.5 58307 bogus 0.6012677 pickles_uk_109 1.498564 1.670455 0 low
ZTF18aaqmujd 210.2998821 51.2920752 58276.3 58468.5 58665 bogus 0.6012677 pickles_uk_109 1.498564 1.670455 0 low
ZTF18aaqmxxh 231.65663987500002 52.54153574166667 58287.3 58334.2 59000 bogus 0.7553726 -- 0.001 0.001 0 low
ZTF18aaqnmab 210.88254293333333 54.38195876666666 58255.2 58282.2 58990 bogus 0.8961687 SB5 4.744341 0.362130 0.001000 gx
ZTF18aaqofhf 210.61278097999997 54.330008580000005 58242.2 58282.2 59022 AGN 0.53569144 SB5 4.176875 0.444391 0.000000 gx
ZTF18aaqwlbl 210.80192452 54.29832072000001 58272.2 58300.2 59022 bogus 0.68921095 SB6 8.095577 0.550926 0.000000 gx
ZTF18aaqxiou 221.10471986666667 51.942336866666665 58272.2 58282.3 58686 bogus 0.82392913 -- 0.001 0.001 0 low
ZTF18aarbslv 162.384981775 51.719470525 58567.2 58881.3 58487 bogus 0.6960044 pickles_uk_119 0.894055 0.747890 0 low
ZTF18aarbslv 162.384981775 51.719470525 58567.2 58881.3 58488 bogus 0.6960044 pickles_uk_119 0.894055 0.747890 0 low
ZTF18aarggvd 195.41471543333333 50.409119466666674 58440.5 58791.5 58842 AGN 0.44718766 M3V 6.612768 2.234842 0 star
ZTF18aarouxf 212.4612552 51.40875226666666 58334.2 58344.2 58587 bogus 0.7006503 pickles_uk_47 2.130881 4.440179 0 low
ZTF18aaroxah 223.99246505 51.53158996666667 58331.2 58346.2 58281 bogus 0.64289683 -- 0.001 0.001 0 low
ZTF18aaroxux 219.32229773333333 51.80266846666667 58288.3 58304.2 58930 bogus 0.41530904 F8IV 8.776219 3.550659 0 star
ZTF18aarrqtt 220.09581226666663 52.118245066666674 58272.2 58282.3 58660 bogus 0.77785295 -- 0.001 0.001 0 low
ZTF18aarrrwv 212.12611246666668 52.12556346666667 58312.2 58334.2 58581 bogus 0.6815125 -- 0.001 0.001 0 low
ZTF18aaseiob 222.4900937 51.93348606666667 58255.3 58282.2 58607 bogus 0.5232654 pickles_uk_100 -0.153741 0.779898 0 low
ZTF18aasgyam 224.0630678 51.57101806666666 58331.3 58368.1 58690 bogus 0.3708916 -- 0.001 0.001 0 low
ZTF18aastlrx 203.72998742 52.068723479999996 58294.2 58337.2 58926 SN 0.4204795 pickles_uk_100 -0.394521 1.015316 0 low
ZTF18aatapmf 220.56036830000002 51.22556496666667 58272.2 58282.3 58173 bogus 0.67762464 pickles_uk_47 1.690843 1.246536 0 low
ZTF18aatapmf 220.56036830000002 51.22556496666667 58272.2 58282.3 58198 bogus 0.67762464 pickles_uk_47 1.690843 1.246536 0 low
ZTF18aatbbqb 220.96129256666666 51.2593419 58279.3 59300.4 58224 bogus 0.6925744 pickles_uk_100 0.134961 35.547520 0 low
ZTF18aatbddl 220.83986166249997 51.205271675000006 58304.2 58343.2 58226 bogus 0.48067337 -- 0.001 0.001 0 low
ZTF18aatbhca 238.58686513000004 53.92072691 58248.3 59202.5 58990 bogus 0.6962274 G5III 11.564622 16.539155 0 star
ZTF18aatbipp 243.40216523333333 53.1377511 58328.2 58343.2 58993 bogus 0.689428 -- 0.001 0.001 0 low
ZTF18aatcagw 225.9866817857143 51.32506415714287 58282.2 58331.2 58282 -- -- pickles_uk_69 2.809789 2.269109 0 low
ZTF18aatcarn 220.49530216666668 51.731427800000006 58248.3 58272.2 58495 bogus 0.80420774 pickles_uk_125 1.190850 1.135345 0 low
ZTF18aatccjz 225.374401075 51.966851775 58272.2 58575.4 58640 bogus 0.45965227 pickles_uk_121 0.385447 1.605279 0 low
ZTF18aatgarp 189.6105556236111 51.22794803194444 58846.6 59313.2 58283 AGN 0.33704615 B9V 17.464300 1.440171 0 star
ZTF18aatgsbk 182.5957078875 51.23535425 59219.4 59639.3 58157 VS 0.84580743 G8V 16.261476 1.055890 0 star
ZTF18aatgsbk 182.5957078875 51.23535425 59219.4 59639.3 58189 VS 0.84580743 G8V 16.261476 1.055890 0 star
ZTF18aatigmd 180.99715387499998 51.35356845 58567.3 59302.3 58543 VS 0.7785823 G0V 9.604399 0.637565 0 star
ZTF18aatuwve 208.14352878 51.16447798 58900.4 59397.3 58169 VS 0.80844873 F8V 20.329081 1.239051 0 star
ZTF18aatxcpa 205.87486602142857 51.03447413571428 58875.5 58980.3 58190 AGN 0.66379136 SB6 16.184063 4.788235 0.131000 gx
ZTF18aatxgja 206.82023356666664 50.760952599999996 58692.2 58977.2 58930 VS 0.5443309 K4III 9.529056 0.993812 0 star
ZTF18aauachq 236.48481280000001 53.60833401428572 58305.2 58334.2 58985 SN 0.35543063 pickles_uk_108 0.321794 0.956659 0 low
ZTF18aauaxhn 273.1990044666667 66.00791903333334 58252.4 58281.3 58365 bogus 0.79404485 pickles_uk_108 0.494002 0.899619 0 low
ZTF18aauhlym 171.343617925 51.970672750000006 58423.5 58567.3 58879 bogus 0.5513478 pickles_uk_100 -0.159667 1.966179 0 low
ZTF18aauhwle 195.44178309999998 51.93385523333333 58279.2 58303.2 58612 bogus 0.7008271 pickles_uk_119 1.479961 1.750431 0 low
ZTF18aauhwzx 189.77523699999998 52.01061153333333 58272.2 58279.2 58879 bogus 0.76514614 pickles_uk_7 0.948758 1.071477 0 low
ZTF18aauhxce 177.56874487027025 51.453418537837834 58254.2 58306.2 58549 SN 0.74474907 pickles_uk_109 1.701531 1.490191 0 low
ZTF18aauhytx 171.65720703181816 51.57306666363636 58426.5 59140.5 58544 AGN 0.6531603 Sa 11.780838 1.228905 0.027000 gx
ZTF18aauhytx 171.65720703181816 51.57306666363636 58426.5 59140.5 58599 AGN 0.6531603 Sa 11.780838 1.228905 0.027000 gx
ZTF18aauibch 182.80936219999998 55.60563483333333 58254.2 58272.2 58966 bogus 0.48502326 pickles_uk_7 1.362480 1.673140 0 low
ZTF18aauoysj 231.062347575 52.3472624 58272.3 58314.2 58993 bogus 0.65999025 -- 0.001 0.001 0 low
ZTF18aauoyto 229.99565785000001 51.28694246250001 58647.2 59039.2 58314 bogus 0.40724245 pickles_uk_69 1.642090 1.456248 0 low
ZTF18aautbzv 206.42412793333332 51.429548600000004 58258.3 58279.2 58499 bogus 0.75548404 -- 0.001 0.001 0 low
ZTF18aauufdb 218.25028153333335 52.31513366666667 58258.3 58279.2 58932 bogus 0.85358 pickles_uk_100 -0.206446 0.690261 0 low
ZTF18aauuglu 213.1477572166667 51.281510016666665 58255.2 58344.2 58280 bogus 0.6439587 pickles_uk_100 -0.673829 1.509447 0 low
ZTF18aauuglu 213.1477572166667 51.281510016666665 58255.2 58344.2 58308 bogus 0.6439587 pickles_uk_100 -0.673829 1.509447 0 low
ZTF18aauuios 204.6829200666667 52.0219073 58288.3 58303.2 58582 bogus 0.7308894 -- 0.001 0.001 0 low
ZTF18aauuios 204.6829200666667 52.0219073 58288.3 58303.2 58881 bogus 0.7308894 -- 0.001 0.001 0 low
ZTF18aauxysh 221.36626703333332 51.96875206666667 58258.3 58282.2 58686 bogus 0.49543628 -- 0.001 0.001 0 low
ZTF18aavaecc 220.09523083333332 52.1181561 58255.3 58279.3 58660 bogus 0.74860555 -- 0.001 0.001 0 low
ZTF18aavagsi 230.64579128 51.23704730000001 58314.2 58337.2 58993 bogus 0.7313421 pickles_uk_82 2.835594 2.819535 0 low
ZTF18aavapwy 226.2640086 51.59971766666666 58255.3 58279.3 58686 bogus 0.7352683 pickles_uk_100 -0.392554 1.203929 0 low
ZTF18aavapxq 228.4320377 51.3335918 59050.3 59464.2 58612 VS 0.81749564 G2V 31.617297 2.747074 0 star
ZTF18aavihhp 234.12031416666665 53.8871765 58278.3 58284.3 59025 bogus 0.63448286 pickles_uk_100 -0.278331 0.414006 0 low
ZTF18aavmyzg 177.55925109999998 51.361481960000006 58254.2 58429.5 58904 bogus 0.62538314 pickles_uk_108 1.771839 2.372973 0 low
ZTF18aavribu 187.0184098777778 51.44623661111111 58266.2 58288.2 58248 SN 0.7629545 pickles_uk_63 2.403575 2.009115 0 low
ZTF18aavribu 187.0184098777778 51.44623661111111 58266.2 58288.2 58824 SN 0.7629545 pickles_uk_63 2.403575 2.009115 0 low
ZTF18aavrjgf 197.9709341 51.692157699999996 58272.2 58334.2 58549 bogus 0.7142956 pickles_uk_31 1.665752 4.615365 0 low
ZTF18aavtnaq 224.007267775 51.08172007500001 58586.4 58975.3 58521 SN 0.42577583 -- 0.001 0.001 0 low
ZTF18aawdiqn 214.93326649999997 53.17857815 58899.5 59372.3 57874 AGN 0.44488046 Sa 13.477421 2.364534 0.116000 gx
ZTF18aawwywd 163.70936134000002 51.56947697999999 58559.3 58586.2 58543 bogus 0.5431363 -- 0.001 0.001 0 low
ZTF18aaxgroy 272.63033650000006 64.90492013333333 58429.2 59621.5 58722 VS 0.7113433 G8V 6.046663 0.685596 0 star
ZTF18aaxqdwh 198.7498838 51.331640275 58272.2 58307.2 58251 SN 0.71696895 SB6 2.985467 1.107976 0.267000 gx
ZTF18aaxqqxd 185.67540993333333 51.375815499999995 58272.2 59252.3 58495 SN 0.3498517 pickles_uk_27 3.066085 2.424025 0 low
ZTF18aaxqsum 180.1766927 51.35603416666667 58257.2 58429.5 58549 bogus 0.4899279 -- 0.001 0.001 0 low
ZTF18aaxqtbj 205.14703129999998 55.82544566944445 58635.2 58965.3 58952 AGN 0.76247984 Sa 13.992484 2.129499 0.012000 agn
ZTF18aaxqzfc 236.56460528333335 51.60640205000001 58281.2 58340.2 58282 bogus 0.47369018 pickles_uk_33 0.462582 0.735491 0 low
ZTF18aaxrbfs 220.87110123333332 51.235545800000004 58279.3 59037.2 58228 bogus 0.5999751 -- 0.001 0.001 0 low
ZTF18aaxrdgn 204.79789236 51.816926 58272.2 58936.4 58600 bogus 0.73414 pickles_uk_31 0.441845 1.476317 0 low
ZTF18aaxsxop 225.6792133 53.29172736666666 58258.3 58353.2 58992 bogus 0.7635888 pickles_uk_100 -0.057387 0.472944 0 low
ZTF18aaxsznj 223.57765163333332 51.762548833333334 58343.2 58368.1 58516 SN 0.34141174 pickles_uk_47 1.155365 1.505225 0 low
ZTF18aaxtaxx 214.526194 52.20041193333333 58272.3 59408.2 58575 bogus 0.33176458 pickles_uk_108 2.231931 2.098010 0 low
ZTF18aaxtgmc 240.03889885 53.847330225 58272.3 58308.2 58964 SN 0.5232628 pickles_uk_100 -0.666500 12.398036 0 low
ZTF18aaxtgxj 235.75412083333333 51.673531133333334 58272.3 58314.2 58282 bogus 0.47678056 -- 0.001 0.001 0 low
ZTF18aaxvhno 197.727705675 51.60330865 58307.2 58337.2 58549 bogus 0.42060027 pickles_uk_100 -0.020872 0.735257 0 low
ZTF18aaxvsku 223.25629976666667 51.28365540000001 58304.2 58334.2 58251 bogus 0.36873356 -- 0.001 0.001 0 low
ZTF18aaxvsnq 230.47451289999998 53.212754175 58308.2 58337.2 59026 bogus 0.63521016 pickles_uk_68 1.624446 1.786894 0 low
ZTF18aaxwkle 224.0581963333333 51.662048066666664 58311.2 58334.2 58600 bogus 0.8059507 -- 0.001 0.001 0 low
ZTF18aaxxudl 232.49588163999996 51.32510306 58258.4 58284.3 58304 bogus 0.87394005 pickles_uk_117 0.612106 1.207863 0 low
ZTF18aaxydyj 185.8791557 55.65650304 58269.2 59281.2 58959 AGN 0.50739866 S0 17.356407 1.934260 0.031000 gx
ZTF18aaybijs 236.20830338333334 53.604231500000004 58308.2 58334.2 58985 bogus 0.5769222 -- 0.001 0.001 0 low
ZTF18aayjozg 198.64670076666667 51.80331696666667 58276.2 58468.5 58578 bogus 0.74703103 -- 0.001 0.001 0 low
ZTF18aayjske 228.6888057 51.18301283333333 58368.2 58911.5 58216 VS 0.590584 K7V 9.782937 1.036380 0 star
ZTF18aayjtee 190.93116056666668 54.81717736666667 58276.2 59525.5 58962 AGN 0.75633866 Sb 8.873338 4.216020 0.084000 gx
ZTF18aaykgng 224.8650090333333 52.918192233333336 58272.2 58282.3 58954 bogus 0.8013261 pickles_uk_116 2.078447 1.602969 0 low
ZTF18aayrggi 226.01444895000003 53.801599624999994 58288.3 58334.2 58964 SN 0.37746856 pickles_uk_27 2.192403 3.306254 0 low
ZTF18aazhhpw 226.45910306000002 52.04353646 58255.3 58282.3 58932 bogus 0.78752804 pickles_uk_108 0.487397 0.963591 0 low
ZTF18aaznnuv 235.79741244000002 51.47518256000001 58287.3 58368.1 58282 bogus 0.5100997 pickles_uk_85 0.807115 1.548245 0 low
ZTF18aazppzi 222.376960525 51.665966375 58272.2 58547.5 58610 bogus 0.7873191 pickles_uk_108 0.341261 2.443724 0 low
ZTF18abafout 223.2470624 51.283608037499995 58291.3 58337.2 58251 bogus 0.7630935 pickles_uk_25 0.843034 0.785691 0 low
ZTF18abafxxq 206.42415315000002 51.429536250000005 58258.3 58282.3 58499 bogus 0.71300066 -- 0.001 0.001 0 low
ZTF18abavzsv 210.86009643333333 54.40319486666667 58272.2 58300.2 58986 bogus 0.40904117 Sc 1.278261 0.188391 0.001000 gx
ZTF18abavzsv 210.86009643333333 54.40319486666667 58272.2 58300.2 59022 bogus 0.40904117 Sc 1.278261 0.188391 0.001000 gx
ZTF18abbhctt 273.96626922 65.86485968000001 58435.1 59383.2 58964 VS 0.593713 F8V 21.283578 1.150439 0 star
ZTF18abbkuuh 270.7662025 65.08116996666668 58766.1 59315.5 58695 VS 0.59516096 F8V 17.776885 0.828744 0 star
ZTF18abbweug 239.25630456 53.13053984 58308.2 58337.2 59026 bogus 0.71878 pickles_uk_47 1.383947 1.639678 0 low
ZTF18abcdxwi 167.3680343 50.43288223333334 58288.2 58292.2 58874 SN 0.81410027 E 4.885089 5.965719 0.153000 gx
ZTF18abcelkh 212.470173875 51.40873805 58331.2 58377.1 58587 bogus 0.41528997 -- 0.001 0.001 0 low
ZTF18abcymwf 206.58307390588234 51.406667111764705 58431.5 59639.3 58499 VS 0.76971173 A2V 14.708654 1.040882 0 star
ZTF18abdrcqr 179.83734804 51.2864635 58303.2 59275.2 58495 VS 0.56418854 G8V 10.363682 0.884556 0 star
ZTF18abeierl 236.87322925714287 51.475827357142855 58308.2 58368.1 58261 bogus 0.6919424 pickles_uk_108 0.587786 1.556128 0 low
ZTF18abfgtil 208.5650828 55.26175623333334 58300.2 58307.2 59011 SN 0.4697069 pickles_uk_7 0.328745 1.600021 0 low
ZTF18abfhrmu 271.47961276875 65.84884599374999 58331.3 58700.3 58966 bogus 0.4584235 K2III 4.264872 6.799028 0 star
ZTF18abfnsex 236.2179773111111 53.60407549999999 58308.2 59455.2 58985 bogus 0.77350163 pickles_uk_52 2.906040 3.694220 0 low
ZTF18abgjaqm 271.4941377333333 65.84821393333333 58322.4 58346.3 58966 bogus 0.4801981 G5V 3.894924 3.385670 0 star
ZTF18abgnoff 232.03242668571428 52.56484874285716 58319.2 58344.2 59000 bogus 0.77303225 -- 0.001 0.001 0 low
ZTF18abgxjuh 273.4622424333333 65.87100443333334 58433.2 59129.2 58971 VS 0.7286191 G8V 28.914211 8.195687 0 star
ZTF18abgxjuh 273.4622424333333 65.87100443333334 58433.2 59129.2 58986 VS 0.7286191 G8V 28.914211 8.195687 0 star
ZTF18abhjvgq 241.85694196666668 53.58350843333333 58715.3 58730.3 59016 VS 0.74244785 G0V 12.684136 0.736057 0 star
ZTF18abhxksc 268.624423125 65.03290902500001 58337.4 58364.2 58670 bogus 0.34516656 G8V 12.031735 2.424502 0 star
ZTF18abimhng 232.20392816666666 51.24033933333334 58491.5 59641.4 58244 VS 0.6038661 G8V 17.309064 2.523700 0 star
ZTF18abixgoy 180.9728445 55.325383775 58321.2 58336.2 58951 SN 0.62463117 SB6 3.918651 2.354420 0.064000 gx
ZTF18abjbjlf 271.473532025 65.77559418333333 58432.2 59372.3 58966 bogus 0.44669428 K0V 7.251727 0.854310 0 star
ZTF18abjxxqo 231.58104054 52.86665320000001 58308.2 58334.2 59015 SN 0.38972202 F02IV 3.488191 2.235991 0 star
ZTF18abkgfve 243.45907232000005 52.41352438 58717.3 59372.4 58993 AGN 0.37944412 K4V 8.278307 0.921254 0 star
ZTF18abkiqna 226.18208822105262 51.38559944210527 58331.2 58365.1 58581 SN 0.82507163 SB4 5.101805 4.350593 0.130000 gx
ZTF18abkljol 231.0627028 52.34725303333334 58308.2 58331.2 58993 bogus 0.58940303 -- 0.001 0.001 0 low
ZTF18abklkcr 212.87961254 51.588313240000005 58312.2 58351.1 58872 bogus 0.72225726 pickles_uk_108 0.744556 7.798334 0 low
ZTF18abknxur 230.19963752222222 51.15495954444444 58314.2 58575.3 58173 bogus 0.7710621 pickles_uk_31 1.709968 2.043459 0 low
ZTF18abknxur 230.19963752222222 51.15495954444444 58314.2 58575.3 58254 bogus 0.7710621 pickles_uk_31 1.709968 2.043459 0 low
ZTF18ablmgku 225.45346962222223 51.3373835 58307.2 58343.2 58253 bogus 0.65862423 pickles_uk_33 1.342355 1.498780 0 low
ZTF18ablmsnz 218.91931648977277 51.214973427272724 58306.2 58971.4 58193 bogus 0.3554537 Sa 14.417197 2.656469 0.105000 gx
ZTF18ablmsnz 218.91931648977277 51.214973427272724 58306.2 58971.4 58253 bogus 0.3554537 Sa 14.417197 2.656469 0.105000 gx
ZTF18abotdjm 32.16800759832869 -0.27964875905292474 58362.5 59628.2 58753 bogus 0.46344012 SB3 11.228638 3.093702 0.067000 gx
ZTF18abotdjm 32.16800759832869 -0.27964875905292474 58362.5 59628.2 58836 bogus 0.46344012 SB3 11.228638 3.093702 0.067000 gx
ZTF18abpdxxu 7.5433773 0.030253966666666663 58376.4 58673.4 58043 AGN 0.56862605 S0 17.383770 3.165861 0.060000 gx
ZTF18abpelkm 17.4184443 0.6387280666666667 58364.4 58434.3 58810 VS 0.71827316 K7V 5.937335 0.703599 0 star
ZTF18abpwsfi 10.232124125000002 0.18524022499999998 58435.2 59078.4 58351 VS 0.6383308 G5III 11.013951 1.004017 0 star
ZTF18abqixde 232.0502144333333 54.00543843333333 58899.5 59300.4 58953 VS 0.7169353 F8V 25.255050 0.962520 0 star
ZTF18abrdwwd 33.40749313333333 -0.29289116666666665 58434.3 58811.2 58778 VS 0.53732544 K7V 7.685901 1.906451 0 star
ZTF18abshkwx 9.9688701 -0.030916133333333335 58376.4 59191.2 58402 VS 0.73832226 O5V 53.200753 10.442273 0 star
ZTF18abslduk 19.264912155191258 0.007592553005464481 58364.4 59550.2 58108 bogus 0.3757328 O5V 13.954270 1.842119 0 star
ZTF18abslduk 19.264912155191258 0.007592553005464481 58364.4 59550.2 58394 bogus 0.3757328 O5V 13.954270 1.842119 0 star
ZTF18absnfek 272.35537203333337 65.87097893333333 58349.2 58364.2 58987 bogus 0.45328048 pickles_uk_108 1.681853 4.388856 0 low
ZTF18abtljfw 7.060823775 -0.054661799999999997 58435.2 59216.2 58039 VS 0.6995621 G0V 23.201463 1.474685 0 star
ZTF18abtzjhn 18.202596466666666 -0.29019903333333336 58431.2 59520.3 58836 bogus 0.5521501 Sb 15.208077 2.324448 0.017000 gx
ZTF18abuatfp 208.08011455486724 55.641185929203544 58369.1 58667.2 58964 SN 0.817283 SB6 11.811560 5.394024 0.136000 gx
ZTF18abupdfg 14.617196866666667 0.8471256666666668 58370.4 59522.3 58701 asteroid 0.6999215 -- 0.001 0.001 0 low
ZTF18abuxkju 18.3180472 -0.018373399999999998 58431.2 59079.5 58038 VS 0.72583157 G0V 9.258583 1.958593 0 star
ZTF18abuxlqg 16.3582787 -0.06453701666666667 58471.1 59199.1 58808 VS 0.44738227 G0V 19.359233 0.994006 0 star
ZTF18abvngmf 272.7766954 66.031237025 58349.3 58379.2 58372 bogus 0.73991555 pickles_uk_108 1.761700 5.561184 0 low
ZTF18abvsqjj 29.218436533333335 -0.206175 58374.4 59496.4 58452 AGN 0.7530262 pickles_uk_47 2.156681 1.680931 0 low
ZTF18abwhatu 8.0445573 -0.1916697 58435.2 59078.4 58351 VS 0.7304516 K4III 8.565854 1.108789 0 star
ZTF18abwhdpm 11.724106375 0.612841575 58351.4 59173.2 58784 bogus 0.36195168 SB3 4.011271 0.522730 0.070000 gx
ZTF18abxnkqz 10.271012840000001 0.8596854799999999 58435.2 59399.4 58730 VS 0.43619192 F6V 21.397607 0.986617 0 star
ZTF18abxocik 9.062285566666667 0.7374103 58435.2 59216.2 58454 VS 0.75507104 F5IV 12.703912 0.669477 0 star
ZTF18abxrpxn 29.297365600000003 -0.473943 58380.4 58380.4 58753 bogus 0.49211136 S0 12.689502 1.507904 0.080000 gx
ZTF18abxrqoc 28.63754883333333 -0.39567050000000004 58380.4 59416.4 58779 bogus 0.42117536 K7V 8.198353 0.941912 0 star
ZTF18abxtthm 24.45591012 0.64832176 58380.4 59419.4 58722 VS 0.8218036 G0V 9.310054 0.651042 0 star
ZTF18abxtzwc 24.355702899999997 -0.4789904333333334 58431.2 59419.4 58780 VS 0.796029 F8IV 6.473942 0.793054 0 star
ZTF18acburia 18.347550283333334 0.8976272500000001 58422.3 58819.2 58786 VS 0.39585915 F8V 16.116386 0.823336 0 star
ZTF18acbyfwa 29.538026516666665 -1.0240822000000003 58423.3 58432.2 58833 SN 0.7790363 SB6 8.821291 2.435506 0.120000 gx
ZTF18acchzkn 13.62499298888889 0.8259963444444445 58425.2 58437.3 58783 SN 0.7741714 E 3.274741 2.927839 0.017000 gx
ZTF18acefogm 162.49018073333332 51.86962513333334 58429.5 58455.5 58549 AGN 0.67616695 S0 16.579449 1.723603 0.023000 gx
ZTF18aceozvl 179.87176143333332 52.091990833333334 58426.5 58511.5 58545 AGN 0.7770166 Sa 10.395458 2.224317 0.176000 gx
ZTF18acesxbd 270.7138677580499 66.09502195510204 58430.1 59641.4 58638 AGN 0.3849049 SB1 3.071820 0.769032 0.204000 gx
ZTF18aceyjol 167.60095775000002 51.289395275000004 58572.3 58599.2 58249 SN 0.38972497 pickles_uk_100 -0.026989 2.046560 0 low
ZTF18aceyjol 167.60095775000002 51.289395275000004 58572.3 58599.2 58611 SN 0.38972497 pickles_uk_100 -0.026989 2.046560 0 low
ZTF18aceyycp 183.51815463880598 55.680052914925376 58450.5 59379.2 58953 AGN 0.7851296 Sa 9.229902 1.315478 0.035000 agn
ZTF18acfjovi 12.4445299 -0.1491162 58431.2 59079.5 58450 VS 0.74168164 G8V 12.226316 1.527755 0 star
ZTF18acfjpai 12.333130574999998 -0.46907219999999994 58431.2 59079.5 58762 VS 0.5753889 G8V 4.248844 0.904343 0 star
ZTF18acgbblx 23.000889736842108 0.49068634210526313 58428.2 59250.1 58838 VS 0.76861227 G0V 17.276619 1.098072 0 star
ZTF18acgdkoo 33.84484486666667 0.44473646666666666 58428.3 58431.3 58454 VS 0.60365343 M2.5V 5.847496 953.274291 0 star
ZTF18acgundg 161.61772745000002 50.81817877 58828.6 59358.3 58495 VS 0.8064722 G0V 6.217413 0.668530 0 star
ZTF18achleep 12.359360200000001 0.818806 59115.4 59202.1 58780 -- -- G2V 16.532394 0.903446 0 star
ZTF18acidyxq 175.07673155625 51.26015753125 58440.5 59550.5 58604 VS 0.68935895 F8V 15.066285 1.711942 0 star
ZTF18aciejvo 179.67003156923076 54.78705936153846 58491.5 59383.2 59008 VS 0.7166679 M3V 6.340782 4.030001 0 star
ZTF18acjvlsc 12.2525376125 -0.55054125 58431.2 59199.2 58762 VS 0.48592946 G0V 18.029995 1.060963 0 star
ZTF18acjwelq 10.3465623 0.7683801666666666 58435.2 59399.4 58730 VS 0.68213195 G0V 18.219945 0.934971 0 star
ZTF18aclhrhp 175.98905703999998 51.41158361 58851.5 59377.2 58244 VS 0.6436098 G0V 13.177729 1.482997 0 star
ZTF18acpnmxi 161.31656343333333 50.853997883333335 58526.4 59013.2 58510 VS 0.56984514 F2V 7.288202 0.890493 0 star
ZTF18acrheek 212.38631593333335 54.67589666666667 58448.5 59404.2 59014 VS 0.7545523 K0III 12.354196 1.454811 0 star
ZTF18acvbfgl 219.68796305 53.78270368333333 58462.5 59265.4 58967 VS 0.64854443 Sb 7.501560 1.988611 0.022000 agn
ZTF18acvgwww 169.91162385 52.113492075 58612.2 58639.2 58939 AGN 0.7750662 Sa 9.234547 1.818835 0.213000 gx
ZTF18acwtrfe 33.348964824999996 -0.18892854999999997 58472.3 58491.1 58350 SN 0.71054536 SB3 4.641544 1.011946 0.049000 gx
ZTF18acwyxnp 217.0494683517857 51.18794107589286 58465.5 59641.4 58219 SN 0.66989666 Sa 12.329132 3.345978 0.130000 gx
ZTF18acwyyaa 177.58793939999998 51.55528556666667 58962.2 59300.3 58904 bogus 0.42308778 K7V 7.268169 0.812925 0 star
ZTF18aczeqvd 199.94661523076925 56.14948343333334 58472.5 59641.3 58957 AGN 0.6703749 Sa 8.590115 2.222673 0.109000 gx
ZTF18adbadmc 210.30440140000005 51.29246946666666 58480.5 59639.3 58248 VS 0.4452775 G2V 14.294765 3.107350 0 star
ZTF18adbadmc 210.30440140000005 51.29246946666666 58480.5 59639.3 58307 VS 0.4452775 G2V 14.294765 3.107350 0 star
